% Model,main_refined_constant_ae.mph
% Version,COMSOL 5.3.1.275
% Date,"Feb 20 2019, 02:32"
% Table,Table: Accumulated Probe Table 13 {tbl13} - 
% Ae,p_in,"Attenuation to groundwater, Global Evaluation: Attenuation to groundwater {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6},"Attenuation to subbase, Global Evaluation: Attenuation to subslab {gev9}",Global Evaluation: Average TCE in subslab {gev10}
2.777777777777778E-5,-5,4.939230042741583E-6,3.4948474606862855E-5,0.01327813438699241,261.53307043227403,1.4331669892018986,2.1384188810697837E-5,0.0016069269883600091
2.777777777777778E-5,-4,4.861103081179439E-6,2.795877968549037E-5,0.010622507509593822,257.39623453597505,1.4104976700350242,2.1078829148756453E-5,0.0016044198193843672
2.777777777777778E-5,-3,4.783470824970323E-6,2.0969084764117727E-5,0.007966880632195392,253.2855933722188,1.3879718945733863,2.0775544412138675E-5,0.001601844623322196
2.777777777777778E-5,-2,4.706338492693051E-6,1.3979389842745187E-5,0.0053112537547969135,249.20142326564078,1.365591177039823,2.04744382819802E-5,0.0015991928350820581
2.777777777777778E-5,-1,4.629760558714821E-6,6.989694921372592E-6,0.0026556268773984567,245.14660864324472,1.3433713237166898,2.0175908911030914E-5,0.0015964491637859065
2.777777777777778E-5,1,4.484665569967056E-6,-6.9896949213725936E-6,-0.0026556268773984567,237.46380432290246,1.3012705617816396,1.961989265472487E-5,0.0015902415879157459
2.777777777777778E-5,2,4.416276258309664E-6,-1.3979389842745185E-5,-0.0053112537547969135,233.8425786444606,1.281426719111133,1.9362816680067253E-5,0.0015867823837698472
2.777777777777778E-5,3,4.3486072550299756E-6,-2.096908476411772E-5,-0.007966880632195392,230.2594934170705,1.2617918811194926,1.9108800717409594E-5,0.0015832388064262635
2.777777777777778E-5,4,4.281629129313161E-6,-2.7958779685490374E-5,-0.010622507509593822,226.71299027408378,1.2423575081615092,1.8857485183552364E-5,0.0015796284341293304
2.777777777777778E-5,5,4.2153549741081134E-6,-3.494847460686286E-5,-0.013278134386992409,223.20376248937018,1.2231273992872076,1.860878884093246E-5,0.001575961907255906
8.333333333333334E-5,-5,1.6464100142471942E-6,3.4948474606862855E-5,0.013278134386992413,87.17769014409134,1.4331669892018983,7.1280629368992794E-6,0.0016069269883600091
8.333333333333334E-5,-4,1.6203676937264794E-6,2.7958779685490374E-5,0.010622507509593824,85.798744845325,1.4104976700350238,7.026276382918816E-6,0.0016044198193843672
8.333333333333334E-5,-3,1.5944902749901068E-6,2.0969084764117734E-5,0.007966880632195389,84.42853112407289,1.387971894573386,6.925181470712888E-6,0.001601844623322196
8.333333333333334E-5,-2,1.5687794975643505E-6,1.3979389842745189E-5,0.005311253754796912,83.06714108854693,1.365591177039823,6.8248127606600665E-6,0.0015991928350820583
8.333333333333334E-5,-1,1.543253519571606E-6,6.989694921372594E-6,0.0026556268773984567,81.71553621441485,1.3433713237166889,6.725302970343634E-6,0.0015964491637859065
8.333333333333334E-5,1,1.4948885233223516E-6,-6.9896949213725936E-6,-0.0026556268773984567,79.15460144096747,1.3012705617816391,6.539964218241621E-6,0.0015902415879157459
8.333333333333334E-5,2,1.4720920861032209E-6,-1.3979389842745187E-5,-0.005311253754796912,77.94752621482016,1.281426719111133,6.454272226689082E-6,0.0015867823837698472
8.333333333333334E-5,3,1.4495357516766593E-6,-2.096908476411773E-5,-0.007966880632195392,76.75316447235689,1.2617918811194928,6.369600239136537E-6,0.001583238806426263
8.333333333333334E-5,4,1.4272097097710529E-6,-2.7958779685490378E-5,-0.010622507509593827,75.5709967580279,1.2423575081615088,6.285828394517452E-6,0.0015796284341293304
8.333333333333334E-5,5,1.4051183247027048E-6,-3.494847460686286E-5,-0.013278134386992416,74.40125416312341,1.223127399287208,6.202929613644156E-6,0.001575961907255906
1.388888888888889E-4,-5,9.878460085483167E-7,3.4948474606862855E-5,0.013278134386992409,52.306614086454815,1.4331669892018986,4.276837762139567E-6,0.0016069269883600096
1.388888888888889E-4,-4,9.722206162358879E-7,2.7958779685490374E-5,0.010622507509593827,51.47924690719501,1.410497670035025,4.21576582975129E-6,0.0016044198193843672
1.388888888888889E-4,-3,9.566941649940646E-7,2.0969084764117734E-5,0.007966880632195392,50.657118674443765,1.387971894573386,4.155108882427735E-6,0.001601844623322196
1.388888888888889E-4,-2,9.412676985386092E-7,1.3979389842745184E-5,0.0053112537547969135,49.8402846531281,1.3655911770398224,4.094887656396035E-6,0.0015991928350820583
1.388888888888889E-4,-1,9.259521117429644E-7,6.9896949213725936E-6,0.002655626877398456,49.02932172864895,1.3433713237166893,4.035181782206183E-6,0.0015964491637859065
1.388888888888889E-4,1,8.96933113993411E-7,-6.989694921372593E-6,-0.002655626877398456,47.49276086458048,1.3012705617816391,3.923978530944973E-6,0.0015902415879157459
1.388888888888889E-4,2,8.832552516619325E-7,-1.3979389842745187E-5,-0.0053112537547969135,46.768515728892105,1.2814267191111333,3.872563336013449E-6,0.0015867823837698472
1.388888888888889E-4,3,8.697214510059951E-7,-2.096908476411773E-5,-0.007966880632195389,46.0518986834141,1.261791881119493,3.82176014348192E-6,0.001583238806426263
1.388888888888889E-4,4,8.563258258626324E-7,-2.7958779685490378E-5,-0.010622507509593827,45.342598054816776,1.242357508161509,3.771497036710474E-6,0.0015796284341293304
1.388888888888889E-4,5,8.430709948216225E-7,-3.4948474606862855E-5,-0.01327813438699241,44.640752497874026,1.2231273992872076,3.721757768186492E-6,0.001575961907255906
1.9444444444444446E-4,-5,7.056042918202263E-7,3.494847460686285E-5,0.01327813438699241,37.36186720461058,1.4331669892018986,3.054884115813977E-6,0.0016069269883600096
1.9444444444444446E-4,-4,6.944432973113486E-7,2.7958779685490374E-5,0.010622507509593824,36.770890647996445,1.410497670035024,3.011261306965208E-6,0.0016044198193843672
1.9444444444444446E-4,-3,6.833529749957606E-7,2.0969084764117727E-5,0.00796688063219539,36.183656196031265,1.3879718945733863,2.967934916019811E-6,0.001601844623322196
1.9444444444444446E-4,-2,6.723340703847218E-7,1.3979389842745189E-5,0.005311253754796914,35.600203323662974,1.365591177039823,2.9249197545686005E-6,0.0015991928350820581
1.9444444444444446E-4,-1,6.613943655306884E-7,6.9896949213725936E-6,0.0026556268773984567,35.02094409189209,1.3433713237166889,2.882272701575844E-6,0.0015964491637859065
1.9444444444444446E-4,1,6.406665099952934E-7,-6.9896949213725936E-6,-0.0026556268773984567,33.923400617557476,1.3012705617816396,2.8028418078178364E-6,0.001590241587915746
1.9444444444444446E-4,2,6.308966083299519E-7,-1.3979389842745187E-5,-0.0053112537547969135,33.40608266349437,1.2814267191111341,2.7661166685810358E-6,0.0015867823837698472
1.9444444444444446E-4,3,6.212296078614253E-7,-2.0969084764117727E-5,-0.007966880632195392,32.8942133452958,1.2617918811194928,2.7298286739156577E-6,0.0015832388064262635
1.9444444444444446E-4,4,6.116613041875944E-7,-2.7958779685490374E-5,-0.010622507509593824,32.38757003915483,1.2423575081615095,2.693926454793195E-6,0.0015796284341293304
1.9444444444444446E-4,5,6.021935677297303E-7,-3.4948474606862855E-5,-0.013278134386992413,31.88625178419573,1.2231273992872074,2.6583984058474936E-6,0.001575961907255906
2.5E-4,-5,5.488033380823982E-7,3.494847460686286E-5,0.013278134386992418,29.059230048030454,1.4331669892018983,2.3760209789664268E-6,0.0016069269883600091
2.5E-4,-4,5.401225645754931E-7,2.7958779685490374E-5,0.010622507509593827,28.599581615108328,1.4104976700350242,2.3420921276396047E-6,0.0016044198193843672
2.5E-4,-3,5.314967583300358E-7,2.096908476411773E-5,0.007966880632195392,28.14284370802431,1.3879718945733863,2.3083938235709637E-6,0.001601844623322196
2.5E-4,-2,5.229264991881167E-7,1.3979389842745187E-5,0.005311253754796912,27.689047029515635,1.3655911770398226,2.2749375868866883E-6,0.0015991928350820583
2.5E-4,-1,5.144178398572023E-7,6.9896949213725936E-6,0.0026556268773984567,27.238512071471636,1.3433713237166889,2.2417676567812124E-6,0.0015964491637859065
2.5E-4,1,4.982961744407837E-7,-6.989694921372594E-6,-0.002655626877398457,26.384867146989148,1.3012705617816394,2.179988072747206E-6,0.0015902415879157459
2.5E-4,2,4.906973620344071E-7,-1.3979389842745184E-5,-0.005311253754796912,25.9825087382734,1.2814267191111335,2.151424075563028E-6,0.0015867823837698472
2.5E-4,3,4.831785838922196E-7,-2.0969084764117717E-5,-0.00796688063219539,25.58438815745229,1.261791881119493,2.1232000797121783E-6,0.001583238806426263
2.5E-4,4,4.7573656992368423E-7,-2.795877968549037E-5,-0.010622507509593827,25.19033225267596,1.2423575081615095,2.095276131505817E-6,0.0015796284341293304
2.5E-4,5,4.683727749009014E-7,-3.494847460686285E-5,-0.013278134386992416,24.800418054374457,1.2231273992872078,2.067643204548051E-6,0.001575961907255906
3.055555555555556E-4,-5,4.4902091297650755E-7,3.494847460686286E-5,0.01327813438699241,23.775733675661275,1.4331669892018983,1.9440171646088947E-6,0.0016069269883600091
3.055555555555556E-4,-4,4.4191846192540367E-7,2.7958779685490374E-5,0.010622507509593824,23.39965768508865,1.4104976700350242,1.9162571953414958E-6,0.0016044198193843674
3.055555555555556E-4,-3,4.3486098408821106E-7,2.0969084764117717E-5,0.007966880632195392,23.025963033838064,1.3879718945733863,1.8886858556489698E-6,0.001601844623322196
3.055555555555556E-4,-2,4.2784895388118624E-7,1.3979389842745187E-5,0.005311253754796911,22.654674842330966,1.3655911770398221,1.8613125710891081E-6,0.0015991928350820581
3.055555555555556E-4,-1,4.2088732351952896E-7,6.989694921372593E-6,0.0026556268773984567,22.286055331204054,1.3433713237166895,1.8341735373664457E-6,0.0015964491637859065
3.055555555555556E-4,1,4.076968699970049E-7,-6.989694921372594E-6,-0.0026556268773984554,21.587618574809305,1.3012705617816394,1.783626604974987E-6,0.001590241587915746
3.055555555555556E-4,2,4.014796598463329E-7,-1.3979389842745187E-5,-0.005311253754796912,21.258416240405495,1.2814267191111333,1.7602560618242946E-6,0.0015867823837698472
3.055555555555556E-4,3,3.953279322754524E-7,-2.096908476411773E-5,-0.007966880632195392,20.932681219733688,1.2617918811194924,1.7371637015826913E-6,0.001583238806426263
3.055555555555556E-4,4,3.8923901175574177E-7,-2.7958779685490378E-5,-0.010622507509593827,20.61027184309852,1.2423575081615092,1.7143168348683963E-6,0.0015796284341293304
3.055555555555556E-4,5,3.8321408855528304E-7,-3.4948474606862855E-5,-0.01327813438699241,20.29125113539729,1.223127399287208,1.6917080764484056E-6,0.001575961907255906
3.611111111111112E-4,-5,3.799407725185833E-7,3.494847460686287E-5,0.01327813438699241,20.117928494790313,1.4331669892018986,1.6449376008229109E-6,0.0016069269883600091
3.611111111111112E-4,-4,3.739310062445722E-7,2.7958779685490384E-5,0.010622507509593827,19.799710348921156,1.410497670035024,1.6214483960581885E-6,0.0016044198193843672
3.611111111111112E-4,-3,3.6795929422848624E-7,2.096908476411772E-5,0.007966880632195392,19.483507182478363,1.3879718945733859,1.5981188009337435E-6,0.001601844623322196
3.611111111111112E-4,-2,3.6202603789946534E-7,1.3979389842745185E-5,0.0053112537547969135,19.16934025120313,1.365591177039823,1.5749567909215535E-6,0.001599192835082058
3.611111111111112E-4,-1,3.5613542759344737E-7,6.9896949213725936E-6,0.002655626877398456,18.857431434095727,1.3433713237166887,1.5519929931562223E-6,0.0015964491637859067
3.611111111111112E-4,1,3.4497427461285056E-7,-6.9896949213725936E-6,-0.0026556268773984567,18.26644648637712,1.3012705617816398,1.5092225119019132E-6,0.001590241587915746
3.611111111111112E-4,2,3.397135583315125E-7,-1.3979389842745187E-5,-0.005311253754796912,17.987890664958503,1.281426719111133,1.4894474369282499E-6,0.0015867823837698472
3.611111111111112E-4,3,3.345082503869212E-7,-2.096908476411773E-5,-0.007966880632195392,17.712268724390043,1.2617918811194933,1.4699077474930462E-6,0.001583238806426263
3.611111111111112E-4,4,3.2935608687024315E-7,-2.7958779685490384E-5,-0.010622507509593827,17.43946079031414,1.242357508161509,1.450575783350182E-6,0.0015796284341293304
3.611111111111112E-4,5,3.242580749313932E-7,-3.4948474606862855E-5,-0.013278134386992409,17.169520191490008,1.223127399287208,1.4314452954563429E-6,0.001575961907255906
4.1666666666666675E-4,-5,3.292820028494389E-7,3.4948474606862855E-5,0.013278134386992413,17.43553802881827,1.433166989201899,1.4256125873798561E-6,0.0016069269883600091
4.1666666666666675E-4,-4,3.2407353874529586E-7,2.7958779685490374E-5,0.010622507509593827,17.159748969065,1.410497670035025,1.4052552765837631E-6,0.0016044198193843672
4.1666666666666675E-4,-3,3.188980549980214E-7,2.096908476411772E-5,0.007966880632195392,16.88570622481458,1.3879718945733863,1.385036294142578E-6,0.0016018446233221958
4.1666666666666675E-4,-2,3.1375589951287006E-7,1.3979389842745185E-5,0.005311253754796911,16.613428217709384,1.3655911770398226,1.3649625521320132E-6,0.0015991928350820581
4.1666666666666675E-4,-1,3.0865070391432115E-7,6.9896949213725936E-6,0.002655626877398457,16.34310724288297,1.3433713237166889,1.3450605940687264E-6,0.0015964491637859065
4.1666666666666675E-4,1,2.989777046644703E-7,-6.9896949213725936E-6,-0.002655626877398456,15.830920288193495,1.3012705617816394,1.3079928436483239E-6,0.0015902415879157463
4.1666666666666675E-4,2,2.9441841722064413E-7,-1.3979389842745187E-5,-0.0053112537547969135,15.58950524296403,1.2814267191111333,1.2908544453378165E-6,0.001586782383769847
4.1666666666666675E-4,3,2.8990715033533173E-7,-2.0969084764117727E-5,-0.007966880632195392,15.35063289447137,1.2617918811194926,1.2739200478273066E-6,0.0015832388064262635
4.1666666666666675E-4,4,2.8544194195421056E-7,-2.7958779685490374E-5,-0.010622507509593824,15.114199351605578,1.2423575081615092,1.2571656789034903E-6,0.0015796284341293304
4.1666666666666675E-4,5,2.810236649405408E-7,-3.4948474606862855E-5,-0.01327813438699241,14.880250832624673,1.2231273992872076,1.2405859227288306E-6,0.001575961907255906
