,p,alpha,beta,Pe,c,n,soil_type
0,-15,6.436212157742072e-06,3.984852836460525e-05,0.015139834304676662,2.593793499570055e-06,1.08074729148752e-07,clay
1,-13,6.373912155193546e-06,3.4535391249178835e-05,0.01312118973066438,2.5686865985429997e-06,1.0702860827262463e-07,clay
2,-11,6.31171932511882e-06,2.9222254133875377e-05,0.011102545156698888,2.5436228880228844e-06,1.0598428700095352e-07,clay
3,-9,6.249657396154729e-06,2.3909117018608244e-05,0.009083900582747186,2.518611930650356e-06,1.0494216377709824e-07,clay
4,-7,6.187753945085307e-06,1.859597990357727e-05,0.0070652560088851546,2.493664839869378e-06,1.039027016612238e-07,clay
5,-5,6.126040945224037e-06,1.3282842788284015e-05,0.00504661143492345,2.468794500925287e-06,1.0286643753855329e-07,clay
6,-3,6.064557193793883e-06,7.969705672845524e-06,0.003027966860906634,2.4440165490989347e-06,1.0183402287912213e-07,clay
7,-1,6.003353195301365e-06,2.6565685576235e-06,0.0010093222869720425,2.41935133770645e-06,1.0080630573776929e-07,clay
8,1,5.942515083740253e-06,-2.6565685576346427e-06,-0.0010093222869762722,2.3948335787473215e-06,9.978473244780482e-08,clay
9,3,5.882071087691086e-06,-7.969705672884182e-06,-0.0030279668609213177,2.370474648339508e-06,9.876977701414588e-08,clay
10,5,5.821987480824592e-06,-1.3282842788266812e-05,-0.005046611434916929,2.346260954772311e-06,9.776087311551317e-08,clay
11,7,5.7622600755142735e-06,-1.8595979903296178e-05,-0.007065256008778323,2.322190810432253e-06,9.6757950434677e-08,clay
12,9,5.702892044526073e-06,-2.3909117018378048e-05,-0.009083900582659642,2.2982654939440082e-06,9.57610622476672e-08,clay
13,11,5.643890268064639e-06,-2.922225413376913e-05,-0.011102545156658485,2.2744877780300497e-06,9.477032408458547e-08,clay
14,13,5.58526342833107e-06,-3.453539124949192e-05,-0.013121189730783344,2.2508611616174213e-06,9.378588173405921e-08,clay
15,15,5.527021425842859e-06,-3.984852836466488e-05,-0.015139834304699354,2.2273896346146723e-06,9.280790144227764e-08,clay
16,-15,8.747571777536587e-06,4.767068279816285e-05,0.018111741345912504,3.5252714263472452e-06,1.4688630943113484e-07,clay-loam
17,-13,8.691374732998238e-06,4.131459175877772e-05,0.015696842499931314,3.50262401739829e-06,1.4594266739159605e-07,clay-loam
18,-11,8.635243588623747e-06,3.495850071871664e-05,0.013281943653693408,3.4800031662153704e-06,1.4500013192564034e-07,clay-loam
19,-9,8.57918006142792e-06,2.860240967921377e-05,0.010867044807667587,3.457409564755452e-06,1.4405873186481144e-07,clay-loam
20,-7,8.523186255305114e-06,2.22463186392264e-05,0.008452145961457639,3.434844060887961e-06,1.431185025369984e-07,clay-loam
21,-5,8.467265956810576e-06,1.5890227599566572e-05,0.006037247115372129,3.4123081805946624e-06,1.4217950752477728e-07,clay-loam
22,-3,8.411426714575165e-06,9.534136559705778e-06,0.0036223482692102882,3.3898049659737917e-06,1.4124187358224098e-07,clay-loam
23,-1,8.355687318286814e-06,3.178045519889182e-06,0.001207449423065266,3.367341989269586e-06,1.4030591621956634e-07,clay-loam
24,1,8.300165056138347e-06,-3.1780455198934033e-06,-0.001207449423066867,3.3449665176237544e-06,1.3937360490098985e-07,clay-loam
25,3,8.244872799538637e-06,-9.534136559645039e-06,-0.003622348269187225,3.322683738214071e-06,1.3844515575892019e-07,clay-loam
26,5,8.189713900862566e-06,-1.5890227599627837e-05,-0.0060372471153954145,3.300454702047615e-06,1.375189459186508e-07,clay-loam
27,7,8.134686287488644e-06,-2.2246318639324263e-05,-0.008452145961494793,3.278278573857924e-06,1.3659494057741414e-07,clay-loam
28,9,8.079796922034676e-06,-2.860240967922405e-05,-0.010867044807671478,3.2561581595799755e-06,1.3567325664916605e-07,clay-loam
29,11,8.025054942823764e-06,-3.4958500718721395e-05,-0.013281943653695222,3.234097141957977e-06,1.3475404758158246e-07,clay-loam
30,13,7.970469953117506e-06,-4.131459175877313e-05,-0.015696842499929618,3.2120993911063557e-06,1.338374746294309e-07,clay-loam
31,15,7.91605130248735e-06,-4.767068279844068e-05,-0.018111741346018177,3.1901686749024027e-06,1.3292369478760039e-07,clay-loam
32,-15,9.24120242953023e-06,9.41330097012865e-05,0.03576438648971218,3.7242045791006826e-06,1.5517519079586142e-07,loam
33,-13,9.146916393536663e-06,8.158194174160491e-05,0.030995801624603414,3.6862073065952765e-06,1.5359197110813624e-07,loam
34,-11,9.052825000718783e-06,6.903087378115342e-05,0.02622721675920208,3.6482884752896714e-06,1.5201201980373745e-07,loam
35,-9,8.95892693819485e-06,5.647980582103316e-05,0.021458631893926425,3.6104475560925247e-06,1.5043531483718842e-07,loam
36,-7,8.865214152895445e-06,4.3928737860791886e-05,0.016690047028605184,3.5726813036168646e-06,1.4886172098403562e-07,loam
37,-5,8.771673332045656e-06,3.137766990066808e-05,0.011921462163328327,3.5349843528143998e-06,1.4729101470059995e-07,loam
38,-3,8.678286985128933e-06,1.8826601940319325e-05,0.007152877297965964,3.4973496550069603e-06,1.4572290229195672e-07,loam
39,-1,8.585048134102898e-06,6.275533980096955e-06,0.00238429243265173,3.4597743980434684e-06,1.441572665851448e-07,loam
40,1,8.492253119378846e-06,-6.275533980088974e-06,-0.002384292432648689,3.4223780071096764e-06,1.4259908362956944e-07,loam
41,3,8.39995734274173e-06,-1.882660194033217e-05,-0.00715287729797085,3.385182809124917e-06,1.4104928371353804e-07,loam
42,5,8.307946625007432e-06,-3.137766990057854e-05,-0.011921462163294302,3.3481024898779948e-06,1.3950427041158324e-07,loam
43,7,8.21628664282763e-06,-4.392873786078362e-05,-0.016690047028601985,3.3111635170595357e-06,1.3796514654414768e-07,loam
44,9,8.125043128124772e-06,-5.647980582103573e-05,-0.021458631893927452,3.274392380634284e-06,1.3643301585976088e-07,loam
45,11,8.034270479318584e-06,-6.903087378106261e-05,-0.02622721675916757,3.237811003165389e-06,1.3490879179855777e-07,loam
46,13,7.944012446418256e-06,-8.158194174153717e-05,-0.030995801624577574,3.2014370159065574e-06,1.3339320899610635e-07,loam
47,15,7.854303111815491e-06,-9.413300970129045e-05,-0.03576438648971367,3.1652841540616423e-06,1.3188683975256828e-07,loam
48,-15,2.6167041725767412e-05,0.00228233996400654,0.867139899517418,1.0545317815484269e-05,4.393882423118436e-07,loamy-sand
49,-13,2.391558954835378e-05,0.001978027968805945,0.7515212462485368,9.637982587986574e-06,4.015826078327752e-07,loamy-sand
50,-11,2.168814343351427e-05,0.0016737159736046395,0.6359025929793787,8.74032180370625e-06,3.6418007515442684e-07,loamy-sand
51,-9,1.951789399548508e-05,0.0013694039784038596,0.5202839397104237,7.865711280180486e-06,3.2773797000752074e-07,loamy-sand
52,-7,1.7423161753183146e-05,0.0010650919832031658,0.4046652864415039,7.021534186532808e-06,2.9256392443886684e-07,loamy-sand
53,-5,1.536179576548355e-05,0.0007607799880020652,0.28904663317242796,6.190803693489871e-06,2.5795015389541026e-07,loamy-sand
54,-3,1.3408530477521173e-05,0.000456467992801508,0.17342797990355902,5.4036377824410326e-06,2.251515742683764e-07,loamy-sand
55,-1,1.1604913072735468e-05,0.00015215599760043147,0.0578093266344928,4.676779968312394e-06,1.9486583201301656e-07,loamy-sand
56,1,9.946579814333059e-06,-0.00015215599760049625,-0.057809326634517474,4.008471665176223e-06,1.6701965271567506e-07,loamy-sand
57,3,8.460485647389459e-06,-0.00045646799280154725,-0.1734279799035741,3.409575715897952e-06,1.420656548290813e-07,loamy-sand
58,5,7.158491404684979e-06,-0.0007607799880021195,-0.28904663317245033,2.884872036088047e-06,1.2020300150366814e-07,loamy-sand
59,7,6.0288078212959034e-06,-0.0010650919832029886,-0.4046652864414367,2.429609551982249e-06,1.0123373133259393e-07,loamy-sand
60,9,5.056795288233075e-06,-0.0013694039784041476,-0.5202839397105345,2.0378885011579294e-06,8.491202088158034e-08,loamy-sand
61,11,4.226553154272273e-06,-0.0016737159736048574,-0.6359025929794633,1.7033009211717263e-06,7.097087171548848e-08,loamy-sand
62,13,3.5230412708340013e-06,-0.0019780279688059645,-0.7515212462485445,1.4197856321461025e-06,5.915773467275461e-08,loamy-sand
63,15,2.9287219728671984e-06,-0.002282339964007641,-0.867139899517836,1.1802749550654814e-06,4.917812312772845e-08,loamy-sand
64,-15,9.757671475013358e-05,0.024819813906461975,9.429905831867853,3.932341604430384e-05,1.6384756685126547e-06,sand
65,-13,9.24360921146308e-05,0.021510505385600356,8.172585054285495,3.7251745122196216e-05,1.5521560467581806e-06,sand
66,-11,8.616926518155476e-05,0.01820119686473835,6.915264276702943,3.472621386816657e-05,1.4469255778402766e-06,sand
67,-9,7.826443758136511e-05,0.014891888343877453,5.6579434991208535,3.154056834529014e-05,1.3141903477204228e-06,sand
68,-7,6.788484339259226e-05,0.011582579823015507,4.4006227215383085,2.7357591887214678e-05,1.1398996619672757e-06,sand
69,-5,5.3837497670135414e-05,0.008273271302153978,3.1433019439559486,2.169651156106457e-05,9.04021315044357e-07,sand
70,-3,3.541351215471253e-05,0.004963962781292357,1.8859811663735604,1.4271645398349148e-05,5.946518915978828e-07,sand
71,-1,1.5996776396419215e-05,0.0016546542604308561,0.6286603887912133,6.446700887756943e-06,2.686125369898729e-07,sand
72,1,4.1172535986988445e-06,-0.0016546542604307824,-0.6286603887911874,1.659253200275635e-06,6.913555001148475e-08,sand
73,3,7.892145629858699e-07,-0.004963962781292354,-1.8859811663735584,3.1805346888330554e-07,1.3252227870137743e-08,sand
74,5,1.405666241488635e-07,-0.008273271302153974,-3.14330194395594,5.664834953199201e-08,2.360347897166344e-09,sand
75,7,2.557877975601461e-08,-0.011582579823015549,-4.400622721538338,1.0308248241673889e-08,4.295103434030786e-10,sand
76,9,4.907240415307821e-09,-0.014891888343877413,-5.657943499120842,1.977617887369052e-09,8.240074530704345e-11,sand
77,11,9.99236782914114e-10,-0.018201196864738197,-6.9152642767029135,4.02692423514388e-10,1.677885097976621e-11,sand
78,13,2.1569935596448542e-10,-0.021510505385600297,-8.172585054285491,8.692684045368763e-11,3.6219516855703186e-12,sand
79,15,4.9140818289722884e-11,-0.024819813906461808,-9.429905831867783,1.9803749770758324e-11,8.251562404482618e-13,sand
80,-15,6.523322925102742e-06,3.412902060904975e-05,0.012966795467931608,2.6288991388164046e-06,1.0953746411734957e-07,sandy-clay
81,-13,6.446864708718256e-06,2.9578484527898113e-05,0.01123788940556162,2.598086477613457e-06,1.0825360323389372e-07,sandy-clay
82,-11,6.370619148522733e-06,2.502794844650697e-05,0.009508983343100635,2.5673595168546616e-06,1.0697331320227755e-07,sandy-clay
83,-9,6.294629751623931e-06,2.047741236561001e-05,0.0077800772808274046,2.5367357899044443e-06,1.0569732457935194e-07,sandy-clay
84,-7,6.218943693605028e-06,1.5926876283525732e-05,0.006051171218103074,2.506234308522826e-06,1.0442642952178509e-07,sandy-clay
85,-5,6.143613493864e-06,1.1376340202678966e-05,0.004322265155848918,2.4758762380271917e-06,1.0316150991779923e-07,sandy-clay
86,-3,6.068698377629227e-06,6.825804121828723e-06,0.0025933590935934532,2.4456854461845787e-06,1.0190356025769092e-07,sandy-clay
87,-1,5.994266900392915e-06,2.2752680406012347e-06,0.0008644530311946524,2.415689560858345e-06,1.0065373170243084e-07,sandy-clay
88,1,5.920407955670751e-06,-2.275268040598531e-06,-0.000864453031193626,2.3859244061353128e-06,9.941351692230457e-08,sandy-clay
89,3,5.847162929344175e-06,-6.825804121837705e-06,-0.0025933590935968637,2.3564066605257026e-06,9.81836108552374e-08,sandy-clay
90,5,5.7745212022768535e-06,-1.1376340203101605e-05,-0.004322265156009496,2.3271320445175726e-06,9.696383518823236e-08,sandy-clay
91,7,5.702486535605935e-06,-1.5926876283560802e-05,-0.0060511712181164,2.298102073849192e-06,9.575425307704989e-08,sandy-clay
92,9,5.631067294445639e-06,-2.0477412364887995e-05,-0.007780077280553125,2.2693201196615927e-06,9.45550049858995e-08,sandy-clay
93,11,5.5602743006493485e-06,-2.502794844678839e-05,-0.00950898334320756,2.2407905431616883e-06,9.336627263173664e-08,sandy-clay
94,13,5.490119942576951e-06,-2.9578484527910267e-05,-0.01123788940556622,2.2125183368585115e-06,9.2188264035771e-08,sandy-clay
95,15,5.420617505176164e-06,-3.4129020609132834e-05,-0.0129667954679632,2.184508854585994e-06,9.102120227441636e-08,sandy-clay
96,-15,8.62975991456408e-06,5.776522997890717e-05,0.021947008994916944,3.477793245569324e-06,1.4490805189872214e-07,sandy-clay-loam
97,-13,8.543660224808973e-06,5.0063199314947825e-05,0.019020741128888227,3.4430950705980165e-06,1.434622946082508e-07,sandy-clay-loam
98,-11,8.457714900112027e-06,4.2361168651197726e-05,0.01609447326293877,3.408459104745147e-06,1.4201912936438088e-07,sandy-clay-loam
99,-9,8.371942441106085e-06,3.465913798723829e-05,0.013168205396909865,3.3738928037657523e-06,1.405788668235733e-07,sandy-clay-loam
100,-7,8.286363938786839e-06,2.6957107323428698e-05,0.010241937530937977,3.339404667331096e-06,1.3914186113879555e-07,sandy-clay-loam
101,-5,8.201005662967062e-06,1.925507665954299e-05,0.007315669664937099,3.3050052821757263e-06,1.3770855342398861e-07,sandy-clay-loam
102,-3,8.115904026726521e-06,1.1553045995744005e-05,0.004389401798969169,3.270709322770788e-06,1.3627955511544964e-07,sandy-clay-loam
103,-1,8.031116310917193e-06,3.851015331877185e-06,0.0014631339329754785,3.236539873299629e-06,1.3485582805415099e-07,sandy-clay-loam
104,1,7.946810771625088e-06,-3.8510153318894116e-06,-0.0014631339329801245,3.2025647409649103e-06,1.3344019754020406e-07,sandy-clay-loam
105,3,7.863027487437567e-06,-1.1553045995770707e-05,-0.004389401798979303,3.1688000774373403e-06,1.3203333655988907e-07,sandy-clay-loam
106,5,7.77966637396547e-06,-1.9255076659905066e-05,-0.007315669665074689,3.1352055487080847e-06,1.3063356452950357e-07,sandy-clay-loam
107,7,7.696727156397675e-06,-2.6957107323344615e-05,-0.010241937530905994,3.1017810440282637e-06,1.2924087683451074e-07,sandy-clay-loam
108,9,7.614223295826415e-06,-3.4659137987148185e-05,-0.013168205396875632,3.068531988218045e-06,1.278554995090855e-07,sandy-clay-loam
109,11,7.532172904552723e-06,-4.236116865102581e-05,-0.016094473262873478,3.035465680534748e-06,1.2647773668894756e-07,sandy-clay-loam
110,13,7.450595559633621e-06,-5.006319931495024e-05,-0.01902074112888915,3.0025900105323494e-06,1.2510791710551413e-07,sandy-clay-loam
111,15,7.369510992168553e-06,-5.7765229978274915e-05,-0.021947008994676748,2.969912929843927e-06,1.2374637207683026e-07,sandy-clay-loam
112,-15,1.3685341354787507e-05,0.0003444699414283459,0.1308760461226752,5.515192565979366e-06,2.2979969024914041e-07,sandy-loam
113,-13,1.3287619009719134e-05,0.00029854061590466985,0.11342590663969228,5.35491046091681e-06,2.2312126920486754e-07,sandy-loam
114,-11,1.2892926388245255e-05,0.00025261129037975423,0.09597576715623617,5.195849334462838e-06,2.1649372226928602e-07,sandy-loam
115,-9,1.2501526915905948e-05,0.00020668196485631465,0.07852562767334224,5.0381153471100965e-06,2.0992147279625465e-07,sandy-loam
116,-7,1.2113688162334006e-05,0.00016075263933253904,0.06107548819032028,4.881816329420604e-06,2.0340901372585786e-07,sandy-loam
117,-5,1.1729619792759285e-05,0.00011482331380926638,0.043625348707489235,4.7270367764819925e-06,1.969598656867488e-07,sandy-loam
118,-3,1.134937828795683e-05,6.889398828550604e-05,0.026175209224473188,4.5737994500466025e-06,1.9057497708527421e-07,sandy-loam
119,-1,1.0972599658440666e-05,2.296466276182416e-05,0.00872506974148678,4.421957662351588e-06,1.8424823593131649e-07,sandy-loam
120,1,1.0600013183268955e-05,-2.29646627618501e-05,-0.008725069741496656,4.27180531285739e-06,1.779918880357256e-07,sandy-loam
121,3,1.0233026234516106e-05,-6.889398828574745e-05,-0.026175209224564868,4.123909572509992e-06,1.7182956552124902e-07,sandy-loam
122,5,9.872585215526371e-06,-0.00011482331380923476,-0.04362534870747753,3.9786518418571285e-06,1.6577716007738055e-07,sandy-loam
123,7,9.520004446626646e-06,-0.00016075263933306474,-0.06107548819051999,3.836561791990539e-06,1.598567413329388e-07,sandy-loam
124,9,9.17588705817827e-06,-0.0002066819648564047,-0.07852562767337656,3.6978824844458436e-06,1.5407843685190953e-07,sandy-loam
125,11,8.84055084729255e-06,-0.00025261129037984525,-0.09597576715627107,3.562741991458898e-06,1.4844758297745376e-07,sandy-loam
126,13,8.514183005549859e-06,-0.00029854061590450445,-0.11342590663962936,3.4312157512365923e-06,1.4296732296819126e-07,sandy-loam
127,15,8.196888369973661e-06,-0.00034446994142867853,-0.13087604612280215,3.303346013099385e-06,1.3763941721247465e-07,sandy-loam
128,-15,6.842636111944243e-06,0.00018938652378201968,0.07195449135193878,2.7575823531135303e-06,1.1489926471306381e-07,silt
129,-13,6.706151075236973e-06,0.00016413498727716448,0.062360559171457774,2.7025788833205002e-06,1.1260745347168758e-07,silt
130,-11,6.569689255683378e-06,0.0001388834507727276,0.052766626991135726,2.6475847700404017e-06,1.1031603208501652e-07,silt
131,-9,6.433321512541387e-06,0.00011363191426855535,0.04317269481091391,2.592628569554179e-06,1.0802619039809079e-07,silt
132,-7,6.297090917810056e-06,8.838037776428321e-05,0.033578762630654416,2.5377276398774527e-06,1.0573865166156024e-07,silt
133,-5,6.161045415634633e-06,6.312884126061305e-05,0.02398483045062346,2.482901302500757e-06,1.034542209375318e-07,silt
134,-3,6.02520369556427e-06,3.7877304756228266e-05,0.014390898270320982,2.428157089312401e-06,1.0117321205468352e-07,silt
135,-1,5.8895028731549145e-06,1.2625768252067645e-05,0.004796966090103804,2.3734696578814307e-06,9.889456907839254e-08,silt
136,1,5.754216801528748e-06,-1.2625768252052801e-05,-0.004796966090098169,2.318949371016086e-06,9.6622890459004e-08,silt
137,3,5.619743494272675e-06,-3.787730475621898e-05,-0.014390898270317531,2.2647566281918882e-06,9.436485950799552e-08,silt
138,5,5.486349899173162e-06,-6.312884126060501e-05,-0.023984830450620512,2.210999009366784e-06,9.212495872361604e-08,silt
139,7,5.354450569691885e-06,-8.838037776446795e-05,-0.03357876263072464,2.1578435795858297e-06,8.991014914940957e-08,silt
140,9,5.224296935717019e-06,-0.00011363191426856897,-0.043172694810919066,2.1053916650939588e-06,8.772465271224807e-08,silt
141,11,5.0960480487845395e-06,-0.00013888345077347418,-0.052766626991419374,2.05370736366017e-06,8.557114015250709e-08,silt
142,13,4.969821624209725e-06,-0.00016413498727749982,-0.062360559171585374,2.00283811455652e-06,8.345158810652159e-08,silt
143,15,4.845707173841374e-06,-0.00018938652378130844,-0.07195449135166875,1.9528199910580742e-06,8.136749962741992e-08,silt
144,-15,4.996582599618745e-06,4.846669988833509e-05,0.018414175773067004,2.0136227876463537e-06,8.390094948526477e-08,silt-loam
145,-13,4.951110805376767e-06,4.200447323661936e-05,0.015958952336681667,1.9952976545668374e-06,8.313740227361819e-08,silt-loam
146,-11,4.905649463004112e-06,3.554224658481805e-05,0.0135037289002639,1.976976733590657e-06,8.237403056627693e-08,silt-loam
147,-9,4.860211758146065e-06,2.9080019933064e-05,0.011048505463864109,1.9586653385328644e-06,8.16110557722025e-08,silt-loam
148,-7,4.814813213729126e-06,2.2617793281443813e-05,0.008593282027515105,1.940369725132838e-06,8.084873854720156e-08,silt-loam
149,-5,4.769472648818359e-06,1.6155566629442633e-05,0.006138058591021407,1.9220974774737987e-06,8.008739489474153e-08,silt-loam
150,-3,4.724215181480123e-06,9.693339977713176e-06,0.0036828351546309133,1.90385871813649e-06,7.932744658902079e-08,silt-loam
151,-1,4.6790785978483806e-06,3.2311133258836695e-06,0.0012276117182024335,1.8856686749328968e-06,7.856952812220412e-08,silt-loam
152,1,4.634147389885495e-06,-3.231113325887363e-06,-0.0012276117182038414,1.867561398123855e-06,7.781505825516072e-08,silt-loam
153,3,4.589449495950684e-06,-9.69333997767717e-06,-0.0036828351546172563,1.8495481468681251e-06,7.706450611950533e-08,silt-loam
154,5,4.544948275045972e-06,-1.6155566629768466e-05,-0.006138058591145191,1.831614154843527e-06,7.631725645181366e-08,silt-loam
155,7,4.500645638121257e-06,-2.2617793281403955e-05,-0.008593282027499954,1.8137601921628661e-06,7.557334134011952e-08,silt-loam
156,9,4.45655106622019e-06,-2.9080019932765666e-05,-0.01104850546375072,1.7959900796867364e-06,7.483291998694737e-08,silt-loam
157,11,4.412676557599388e-06,-3.554224658495787e-05,-0.013503728900317038,1.7783086527125538e-06,7.409619386302285e-08,silt-loam
158,13,4.369034606961522e-06,-4.2004473236798164e-05,-0.015958952336749613,1.7607209466054931e-06,7.336337277522903e-08,silt-loam
159,15,4.325637622914762e-06,-4.846669988957734e-05,-0.018414175773538984,1.743231962034649e-06,7.263466508477687e-08,silt-loam
160,-15,7.268088403389929e-06,3.291986410839164e-05,0.01250739508805092,2.9290396265661418e-06,1.220433177735887e-07,silty-clay
161,-13,7.218196856537318e-06,2.853054889265933e-05,0.01083974240915777,2.90893333318454e-06,1.2120555554935582e-07,silty-clay
162,-11,7.168385714123771e-06,2.4141233679137006e-05,0.009172089731104248,2.88885944279188e-06,1.203691434496618e-07,silty-clay
163,-9,7.118664626112363e-06,1.975191846460032e-05,0.007504437052665429,2.868821844323282e-06,1.1953424351346994e-07,silty-clay
164,-7,7.069045026148137e-06,1.5362603250490322e-05,0.005836784374388655,2.8488251455376997e-06,1.1870104773073733e-07,silty-clay
165,-5,7.0195406299215305e-06,1.0973288036117999e-05,0.004169131696012193,2.8288748738583768e-06,1.1786978641076592e-07,silty-clay
166,-3,6.9701688807052595e-06,6.583972821595866e-06,0.0025014790175788533,2.80897805892422e-06,1.1704075245517623e-07,silty-clay
167,-1,6.920954133281836e-06,2.1946576071968416e-06,0.0008338263391922731,2.78914451571258e-06,1.1621435482135772e-07,silty-clay
168,1,6.871950273896138e-06,-2.1946576071903728e-06,-0.0008338263391898188,2.769395960380144e-06,1.1539149834917257e-07,silty-clay
169,3,6.823168594685327e-06,-6.5839728215615485e-06,-0.002501479017565813,2.749736943658187e-06,1.1457237265242446e-07,silty-clay
170,5,6.774574724526725e-06,-1.097328803607947e-05,-0.0041691316959975785,2.7301536139842704e-06,1.1375640058267743e-07,silty-clay
171,7,6.726162810887383e-06,-1.5362603250503115e-05,-0.005836784374393518,2.7106436127876154e-06,1.1294348386615085e-07,silty-clay
172,9,6.677932048610409e-06,-1.975191846439284e-05,-0.007504437052586579,2.691206615589995e-06,1.1213360898291733e-07,silty-clay
173,11,6.629883934825678e-06,-2.414123367890343e-05,-0.009172089731015541,2.671843225734748e-06,1.1132680107228117e-07,silty-clay
174,13,6.582021277776678e-06,-2.8530548893383565e-05,-0.010839742409432921,2.6525545749440013e-06,1.1052310728933287e-07,silty-clay
175,15,6.534347675635265e-06,-3.291986410807491e-05,-0.01250739508793057,2.633342113281012e-06,1.0972258805337567e-07,silty-clay
176,-15,6.444144933974817e-06,4.1180551301476417e-05,0.015645915893681382,2.5969904083918516e-06,1.0820793368299432e-07,silty-clay-loam
177,-13,6.400700239080028e-06,3.568981112785243e-05,0.01355979377448825,2.5794821963492514e-06,1.0747842484788541e-07,silty-clay-loam
178,-11,6.35729382418683e-06,3.0199070954382103e-05,0.011473671655353434,2.5619894111472927e-06,1.06749558797804e-07,silty-clay-loam
179,-9,6.313930687039151e-06,2.4708330781545348e-05,0.009387549536459358,2.5445140668767777e-06,1.0602141945319883e-07,silty-clay-loam
180,-7,6.270616949102548e-06,1.92175906077738e-05,0.007301427417210137,2.527058630488327e-06,1.0529410960368114e-07,silty-clay-loam
181,-5,6.227360799951298e-06,1.3726850434235209e-05,0.005215305298049486,2.5096264023803736e-06,1.0456776676584919e-07,silty-clay-loam
182,-3,6.184173789772296e-06,8.236110260514034e-06,0.003129183178819376,2.492222037278236e-06,1.0384258488659314e-07,silty-clay-loam
183,-1,6.141075805914e-06,2.7453700867538785e-06,0.0010430610595744939,2.474853549783342e-06,1.0311889790763935e-07,silty-clay-loam
184,1,6.0981336620322445e-06,-2.745370086811578e-06,-0.001043061059596414,2.4575478657989944e-06,1.0239782774162512e-07,silty-clay-loam
185,3,6.055359574348111e-06,-8.236110260470076e-06,-0.0031291831788026873,2.4403099084622887e-06,1.0167957951926212e-07,silty-clay-loam
186,5,6.012707327521039e-06,-1.3726850434201515e-05,-0.0052153052980366795,2.423121052990979e-06,1.0096337720795737e-07,silty-clay-loam
187,7,5.9701743265663435e-06,-1.9217590607748254e-05,-0.007301427417200439,2.405980253606237e-06,1.0024917723359342e-07,silty-clay-loam
188,9,5.927764206127696e-06,-2.470833078146052e-05,-0.00938754953642713,2.388888975069461e-06,9.953704062789405e-08,silty-clay-loam
189,11,5.885482593705418e-06,-3.0199070955103087e-05,-0.011473671655627378,2.371849485263284e-06,9.882706188596993e-08,silty-clay-loam
190,13,5.8433360951403955e-06,-3.568981112808811e-05,-0.013559793774577705,2.3548644463415797e-06,9.811935193089905e-08,silty-clay-loam
191,15,5.801331300552553e-06,-4.118055130260191e-05,-0.015645915894109057,2.337936514122679e-06,9.741402142177856e-08,silty-clay-loam
